ISO language name,Native name (endonym),639-1,639-2/T,639-2/B,Notes
Sindhi,"सिन्धी, سنڌي، سندھی‎",sd,snd,snd,
Northern Sami,Davvisámegiella,se,sme,sme,
Samoan,gagana fa'a Samoa,sm,smo,smo,
Sango,yângâ tî sängö,sg,sag,sag,
Serbian,српски језик,sr,srp,srp,The ISO 639-2/T code srp deprecated the ISO 639-2/B code scc[2]
"Gaelic, Scottish Gaelic",Gàidhlig,gd,gla,gla,
Shona,chiShona,sn,sna,sna,
"Sinhala, Sinhalese",සිංහල,si,sin,sin,
Slovak,"Slovenčina, Slovenský Jazyk",sk,slk,slo,
Slovenian,"Slovenski Jezik, Slovenščina",sl,slv,slv,also known as Slovene
Somali,"Soomaaliga, af Soomaali",so,som,som,
Southern Sotho,Sesotho,st,sot,sot,
"Spanish, Castilian",Español,es,spa,spa,
Sundanese,Basa Sunda,su,sun,sun,
Swahili,Kiswahili,sw,swa,swa,macrolanguage
Swati,SiSwati,ss,ssw,ssw,also known as Swazi
Swedish,Svenska,sv,swe,swe,
Tamil,தமிழ்,ta,tam,tam,
Telugu,తెలుగు,te,tel,tel,
Tajik,"тоҷикӣ, toçikī, تاجیکی‎",tg,tgk,tgk,
Thai,ไทย,th,tha,tha,
Tigrinya,ትግርኛ,ti,tir,tir,
Tibetan,བོད་ཡིག,bo,bod,tib,also known as Standard Tibetan
Turkmen,"Türkmen, Түркмен",tk,tuk,tuk,
Tagalog,Wikang Tagalog,tl,tgl,tgl,Note: Filipino (Pilipino) has the code [fil]
Tswana,Setswana,tn,tsn,tsn,
Tongan (Tonga Islands),Faka Tonga,to,ton,ton,
Turkish,Türkçe,tr,tur,tur,
Tsonga,Xitsonga,ts,tso,tso,
Tatar,"татар теле, tatar tele",tt,tat,tat,
Twi,Twi,tw,twi,twi,Covered by macrolanguage [ak/aka]
Tahitian,Reo Tahiti,ty,tah,tah,One of the Reo Mā`ohi (languages of French Polynesia)
"Uighur, Uyghur","ئۇيغۇرچە‎, Uyghurche",ug,uig,uig,
Ukrainian,Українська,uk,ukr,ukr,
Urdu,اردو,ur,urd,urd,
Uzbek,"Oʻzbek, Ўзбек, أۇزبېك‎",uz,uzb,uzb,macrolanguage
Venda,Tshivenḓa,ve,ven,ven,
Vietnamese,Tiếng Việt,vi,vie,vie,
Volapük,Volapük,vo,vol,vol,constructed
Walloon,Walon,wa,wln,wln,
Welsh,Cymraeg,cy,cym,wel,
Wolof,Wollof,wo,wol,wol,
Western Frisian,Frysk,fy,fry,fry,also known as Frisian
Xhosa,isiXhosa,xh,xho,xho,
Yiddish,ייִדיש,yi,yid,yid,"macrolanguage. Changed in 1989 from original ISO 639:1988, ji.[1]"
Yoruba,Yorùbá,yo,yor,yor,
"Zhuang, Chuang","Saɯ cueŋƅ, Saw cuengh",za,zha,zha,macrolanguage
Zulu,isiZulu,zu,zul,zul,
